,purchasenumber,purchaseobjectinfo,responsibleorg_regnum,responsibleorg_fullname,responsibleorg_postaddress,responsibleorg_factaddress,responsibleorg_inn,responsiblerole,max_price,final_price,execution_period,ratio_final_to_reserve_price,month_year,zip_code
384,148300008321000032,Выполнение работ по ликвидации мест несанкционированного размещения отходов и мусора на территории поселения Сосенское города Москвы в 2021 году,1483000083,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ СОСЕНСКОЕ,"Российская Федерация, 108814, город Москва, поселение Сосенское, поселок Коммунарка, улица Александры Монаховой, домовладение 30, строение 1.","Российская Федерация, 108814, Москва, Сосенское п, Коммунарка п, УЛИЦА АЛЕКСАНДРЫ МОНАХОВОЙ, ДВЛД 30/СТРОЕНИЕ 1",5003057029,CU,18319796.48,10995413.93,402.0,0.6001930175372777,2021-08,108814
401,148300008321000064,Поставка горюче-смазочных материалов для нужд администрации поселения Сосенское,1483000083,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ СОСЕНСКОЕ,"Российская Федерация, 108814, город Москва, поселение Сосенское, поселок Коммунарка, улица Александры Монаховой, домовладение 30, строение 1.","Российская Федерация, 108814, Москва, Сосенское п, Коммунарка п, УЛИЦА АЛЕКСАНДРЫ МОНАХОВОЙ, ДВЛД 30/СТРОЕНИЕ 1",5003057029,CU,1394048.0,5999400.0,402.0,4.303582086126159,2021-12,108814
432,148300011021000032,Оказание информационных услуг с использованием справочно-правовой системы «КонсультантПлюс»,1483000110,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ ДЕСЕНОВСКОЕ,"Российская Федерация, 108818, Москва, Десеновское п, Десна д, УЛ АДМИНИСТРАТИВНАЯ, ДОМ 9","Российская Федерация, 108818, Москва, Десеновское п, Десна д, УЛ АДМИНИСТРАТИВНАЯ, ДОМ 9",5003057124,CU,689006.44,675106590.98,1125.0,979.8262422336721,2021-11,108818
449,148300014520000064,Услуги по печатанию газет,1483000145,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МОСКОВСКИЙ,"Российская Федерация, 108811, г.Москва, г.Московский, микрорайон 1, 19а, -","Российская Федерация, 142784, Москва, Московский п, 19/А",5003057325,RA,3010700.0,12815961.07,397.0,4.256804420898795,2020-12,108811
477,148300014521000032,"Выполнение комплекса работ по организации дорожного движения на объектах улично-дорожной сети, расположенных по адресу: г.Москва, г.Московский, ул.Никитина, ул.Бианки, ул.Лаптева, ул.Москвитина",1483000145,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МОСКОВСКИЙ,"Российская Федерация, 108811, г.Москва, г.Московский, микрорайон 1, 19а, -","Российская Федерация, 142784, Москва, Московский п, 19/А",5003057325,CU,38700000.0,78011343.87,416.0,2.0157969992248064,2021-07,108811
499,148300014521000064,"Оказание услуг по организации и проведению тематических экскурсий для детей, молодежи и многодетных семей поселения Московский в 2022 году										",1483000145,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МОСКОВСКИЙ,"Российская Федерация, 108811, г.Москва, г.Московский, микрорайон 1, 19а, -","Российская Федерация, 108811, Москва, Московский п, Московский г, МИКРОРАЙОН 1-Й, ДОМ 19А",5003057325,CU,2005000.0,42796800.0,171.0,21.34503740648379,2021-11,108811
522,148300014521000096,Поставка автомобильного топлива через сеть АЗС с помощью смарт-карт в 2022 году,1483000145,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МОСКОВСКИЙ,"Российская Федерация, 108811, г.Москва, г.Московский, микрорайон 1, 19а, -","Российская Федерация, 108811, Москва, Московский п, Московский г, МИКРОРАЙОН 1-Й, ДОМ 19А",5003057325,RA,1400000.0,7973930.0,303.0,5.695664285714286,2021-12,108811
533,148300014620000032,Оказание услуг по сопровождению программного комплекса 1С8 (среди СМП),1483000146,"АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ ""МОСРЕНТГЕН""","Российская Федерация, 108820, г. Москва, поселение ""Мосрентген"", поселок завода Мосрентген, д.41","Российская Федерация, 108820, Москва, ДОМ 41",5003056924,CU,400000.0,62058028.7,260.0,155.14507175,2020-12,108820
561,148300014621000032,"Выполнение работ по аварийному ремонту АБП дорог на территории поселения ""Мосрентген"" (среди СМП)",1483000146,"АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ ""МОСРЕНТГЕН""","Российская Федерация, 108820, г. Москва, поселение ""Мосрентген"", поселок завода Мосрентген, д.41","Российская Федерация, 108820, Москва, ДОМ 41",5003056924,CU,1300000.0,8000000.0,372.0,6.153846153846154,2021-12,108820
577,148300015920000032,поставка подарков для праздничных мероприятий поселения Щаповское,1483000159,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ ЩАПОВСКОЕ,"Российская Федерация, 108825, Москва, Щаповское п, Щапово п, 2","Российская Федерация, 142144, Москва, Щаповское п, Щапово п, 2",5074032006,CU,491389.95,888755.26,392.0,1.8086557529310479,2020-12,108825
655,148300019320000032,"Оказание услуг по отлову животных (собак) на территории поселения Вороновское, транспортировке  содержанию в стационаре пункта стерилизации и содержанию в приюте безнадзорных и бесхозяйных животных в 2021г.",1483000193,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ ВОРОНОВСКОЕ,"Российская Федерация, 108830, Москва, Вороновское п, Вороново с, ДОМ 31/СТРОЕНИЕ 1","Российская Федерация, 108830, Москва, Вороновское п, Вороново с, ДОМ 31/СТРОЕНИЕ 1",5074031845,CU,6147826.17,17285759.91,138.0,2.8116865103230464,2020-12,108830
719,148300028020000032,Поставка автомобильного бензина Аи-95 через сеть АЗС по смарт-картам для нужд Администрации поселения Михайлово-Ярцевское в городе Москве в первом полугодии 2021 года,1483000280,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МИХАЙЛОВО-ЯРЦЕВСКОЕ,"Российская Федерация, 108833, Москва, Михайлово-Ярцевское п, Шишкин Лес п","Российская Федерация, 108833, Москва, Михайлово-Ярцевское п, Шишкин Лес п",5074032038,CU,591015.0,28166987.97,354.0,47.65866851095149,2020-12,108833
741,148300028021000032,Оказание услуг по организации и проведению торжественных и праздничных мероприятий на территории поселения Михайлово-Ярцевское ,1483000280,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ МИХАЙЛОВО-ЯРЦЕВСКОЕ,"Российская Федерация, 108833, Москва, Михайлово-Ярцевское п, Шишкин Лес п","Российская Федерация, 108833, Москва, Михайлово-Ярцевское п, Шишкин Лес п",5074032038,CU,5195000.0,9424040.28,426.0,1.81405972666025,2021-11,108833
793,148300038321000032,Выполнение работ по вывозу мусора и ликвидации несанкционированных свалок на территории поселения Рязановское в городе Москве ,1483000383,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ РЯЗАНОВСКОЕ,"Российская Федерация, 108824, Москва г, Рязановское п, Фабрики им 1 Мая п, 10","Российская Федерация, 142131, Москва, Рязановское п, Фабрики им 1 Мая п, 10",5074031980,CU,2098541.07,41937850.95,380.0,19.984288870743907,2021-11,108824
828,148300040721000032,Оказание услуг по организации и осуществлению пассажирских перевозок для нужд поселения Краснопахорское ,1483000407,АДМИНИСТРАЦИЯ ПОСЕЛЕНИЯ КРАСНОПАХОРСКОЕ,"Российская Федерация, 108828, Москва, Краснопахорское п, Красная Пахра с, УЛИЦА ЗАВОДСКАЯ, ДОМ 25","Российская Федерация, 108828, Москва, Краснопахорское п, Красная Пахра с, УЛИЦА ЗАВОДСКАЯ, ДОМ 25",5074031997,CU,500000.0,162330163.7,762.0,324.66032739999997,2021-11,108828
842,148300041820000064,"Поставка концентрированного моющего средства для промывки асфальтобетонных и плиточных покрытий для нужд МБУ ""Городское благоустройство""",1483000418,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЩЕРБИНКА,"Российская Федерация, 108851, Москва, Щербинка г, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4","Российская Федерация, 108851, Москва, Щербинка г, УЛИЦА ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4",5051002044,RA,1153569.6,5237146.02,364.0,4.539948018741131,2020-12,108851
872,148300041821000032,Оказание услуг по охране помещений,1483000418,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЩЕРБИНКА,"Российская Федерация, 108851, Москва, Щербинка г, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4","Российская Федерация, 108851, Москва, Щербинка г, УЛИЦА ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4",5051002044,RA,750000.0,1081349.37,304.0,1.4417991600000002,2021-03,108851
898,148300041821000064,Продление лицензии на антивирусное программное обеспечение (АПО) Касперский Endpoint Security для бизнеса – Стандартный Russia Edition,1483000418,АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЩЕРБИНКА,"Российская Федерация, 108851, Москва, Щербинка г, УЛ ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4","Российская Федерация, 108851, Москва, Щербинка г, УЛИЦА ЖЕЛЕЗНОДОРОЖНАЯ, ДОМ 4",5051002044,CU,135168.0,11411400.0,395.0,84.423828125,2021-09,108851
989,169200002120000032,Оказание услуг платного проезда по трассе М-11 на 2021,1692000021,ПОСТОЯННОЕ ПРЕДСТАВИТЕЛЬСТВО ЧЕЛЯБИНСКОЙ ОБЛАСТИ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 127422, г.Москва, Дмитровский проезд, 4а","Российская Федерация, 127422, Москва, ПРОЕЗД ДМИТРОВСКИЙ, 4 ""А""",7710032610,CU,100000.0,70000.0,366.0,0.7,2020-12,127422
1021,169200002121000032,Страхование транспортных средств (КАСКО),1692000021,ПОСТОЯННОЕ ПРЕДСТАВИТЕЛЬСТВО ЧЕЛЯБИНСКОЙ ОБЛАСТИ ПРИ ПРАВИТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 127422, г.Москва, Дмитровский проезд, 4а","Российская Федерация, 127422, Москва, ПРОЕЗД ДМИТРОВСКИЙ, 4 ""А""",7710032610,CU,200000.0,70000.0,367.0,0.35,2021-11,127422
1048,173100000120000032,"Выполнение работ по изготовлению материалов для подготовки бюджета Российской Федерации, сканированию, электронной обработке, копированию входящей документации Министерства финансов Российской Федерации, а также изготовлению другой полиграфической продукции для нужд Министерства финансов Российской Федерации",1731000001,МИНИСТЕРСТВО ФИНАНСОВ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 109097, Москва, УЛ ИЛЬИНКА, 9/СТР.1","Российская Федерация, 109097, Москва, УЛ ИЛЬИНКА, 9/СТР.1",7710168360,CU,45713800.0,3997637.0,364.0,0.0874492385231593,2020-12,109097
1136,173100001421000032,"поставка научно-исследовательского комплекса для углубленного изучения кардиоваскулярных токсических эффектов, изучения токсических эффектов на внутренние органы и репродуктивную систему у населения и работающих в неблагоприятных условиях в рамках государственной программы Российской Федерации «Обеспечение химической и биологической безопасности Российской Федерации» в 2021 году",1731000014,ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ЗАЩИТЫ ПРАВ ПОТРЕБИТЕЛЕЙ И БЛАГОПОЛУЧИЯ ЧЕЛОВЕКА,"Российская Федерация, 127994, Москва, ПЕРЕУЛОК ВАДКОВСКИЙ, 18/СТР.5;7","Российская Федерация, 127994, Москва, ПЕРЕУЛОК ВАДКОВСКИЙ, 18/СТР.5;7",7707515984,CU,7590000.0,10000000.0,364.0,1.3175230566534915,2021-10,127994
1157,173100001520000096,Поставка костюмов летних,1731000015,ФЕДЕРАЛЬНАЯ ТАМОЖЕННАЯ СЛУЖБА,"Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5","Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5",7730176610,CU,5193300.0,46530172.04,729.0,8.95965417749793,2020-12,121087
1185,173100001521000032,Поставка средств защиты информации для обеспечения безопасности информации ,1731000015,ФЕДЕРАЛЬНАЯ ТАМОЖЕННАЯ СЛУЖБА,"Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5","Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5",7730176610,CU,3499990.91,4194163.8,483.0,1.198335626534527,2021-05,121087
1211,173100001521000064,Поставка легковых автомобилей,1731000015,ФЕДЕРАЛЬНАЯ ТАМОЖЕННАЯ СЛУЖБА,"Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5","Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5",7730176610,CU,27500000.0,9120000.0,518.0,0.3316363636363636,2021-09,121087
1241,173100001521000096,Оказание услуг по ремонту спектрометрических комплексов СКС-50М,1731000015,ФЕДЕРАЛЬНАЯ ТАМОЖЕННАЯ СЛУЖБА,"Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5","Российская Федерация, 121087, Москва, УЛИЦА НОВОЗАВОДСКАЯ, 11/5",7730176610,CU,6906424.0,392515300.0,426.0,56.833362677993705,2021-11,121087
1290,173100001821000032,Поставка мебели,1731000018,УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ПО СЕВЕРО-ВОСТОЧНОМУ АДМИНИСТРАТИВНОМУ ОКРУГУ ГЛАВНОГО УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,"Российская Федерация, 129337, Москва, УЛИЦА ВЕШНИХ ВОД, 10","Российская Федерация, 129337, Москва, УЛИЦА ВЕШНИХ ВОД, 10",7715047144,CU,14914701.57,1776079.07,147.0,0.1190824410172895,2021-07,129337
1329,173100002221000032,Закупка и поставка расходных материалов для полиграфического оборудования для нужд МИД России,1731000022,МИНИСТЕРСТВО ИНОСТРАННЫХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 119200, Москва, ПЛОЩАДЬ СМОЛЕНСКАЯ-СЕННАЯ, ДОМ 32/34","Российская Федерация, 119200, Москва, ПЛОЩАДЬ СМОЛЕНСКАЯ-СЕННАЯ, ДОМ 32/34",7704206201,CU,261521.31,4457340.0,521.0,17.04388831640527,2021-09,119200
1359,173100002221000064,Оказание услуг по подписке и доставке российских периодических печатных изданий,1731000022,МИНИСТЕРСТВО ИНОСТРАННЫХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Российская Федерация, 119200, Москва, ПЛОЩАДЬ СМОЛЕНСКАЯ-СЕННАЯ, ДОМ 32/34","Российская Федерация, 119200, Москва, ПЛОЩАДЬ СМОЛЕНСКАЯ-СЕННАЯ, ДОМ 32/34",7704206201,CU,2699999.96,1190000.0,783.0,0.4407407472702333,2021-12,119200
1432,173100002821000032,Оказание услуг по проведению планового технического обслуживания автомобилей УАЗ Патриот в соответствии с гарантийными требованиями завода – изготовителя (Смоленск),1731000028,МОСКОВСКО-ОКСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,"Российская Федерация, 117105, Москва, Варшавское шоссе, 39а","Российская Федерация, 117105, Москва, ШОССЕ ВАРШАВСКОЕ, 39А",7702667310,CU,63819.34,13199.93,360.0,0.20683275634000603,2021-02,117105
1463,173100002821000064,Поставка гребных лодок,1731000028,МОСКОВСКО-ОКСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,"Российская Федерация, 117105, Москва, Варшавское шоссе, 39а","Российская Федерация, 117105, Москва, ШОССЕ ВАРШАВСКОЕ, 39А",7702667310,CU,115820.01,63819.34,276.0,0.551021710324494,2021-03,117105
1495,173100002821000096,Оказание услуг по техническому обслуживанию и ремонту автотранспортных средств (Пушкино) ,1731000028,МОСКОВСКО-ОКСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,"Российская Федерация, 117105, Москва, Варшавское шоссе, 39а","Российская Федерация, 117105, Москва, ШОССЕ ВАРШАВСКОЕ, 39А",7702667310,CU,250000.0,65043.05,85.0,0.2601722,2021-06,117105
1527,173100002821000128,Оказание услуг по техническому обслуживанию и ремонту автотранспорта (Пушкино),1731000028,МОСКОВСКО-ОКСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОГО АГЕНТСТВА ПО РЫБОЛОВСТВУ,"Российская Федерация, 117105, Москва, Варшавское шоссе, 39а","Российская Федерация, 117105, Москва, ШОССЕ ВАРШАВСКОЕ, 39А",7702667310,CU,500000.0,180000.0,141.0,0.36,2021-10,117105
1578,173100002921000032,Выполнение работ по текущему ремонту помещений здания Росавиации ,1731000029,ФЕДЕРАЛЬНОЕ АГЕНТСТВО ВОЗДУШНОГО ТРАНСПОРТА,"Российская Федерация, 125167, Москва, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, 37 корп 2 ","Российская Федерация, 125167, Москва, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, 37",7714549744,CU,3286000.0,4468700.0,363.0,1.3599208764455264,2021-09,125167
1604,173100002921000064,Эксплуатация ФГИС «Единая информационная система для Росавиации и ее территориальных органов по ведению Государственного реестра гражданских аэродромов Российской Федерации»,1731000029,ФЕДЕРАЛЬНОЕ АГЕНТСТВО ВОЗДУШНОГО ТРАНСПОРТА,"Российская Федерация, 125167, Москва, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, 37 корп 2 ","Российская Федерация, 125167, Москва, ПРОСПЕКТ ЛЕНИНГРАДСКИЙ, 37",7714549744,CU,1000000.0,7091666.59,729.0,7.09166659,2021-12,125167
1617,173100003121000032,Предоставление автотранспортных средств с экипажем для нужд Рособрнадзора,1731000031,ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ОБРАЗОВАНИЯ И НАУКИ,"Российская Федерация, 127051, Москва, УЛИЦА САДОВАЯ-СУХАРЕВСКАЯ, 16","Российская Федерация, 127051, Москва, УЛИЦА САДОВАЯ-СУХАРЕВСКАЯ, 16",7701537808,CU,22992000.0,23300000.0,307.0,1.0133959638135004,2021-11,127051
1630,173100003220000064,"Оказание услуг по обеспечению трехразовым питанием лиц, подвергнутых административному аресту, содержащихся в 1–м и 2–м Специальных приемниках для содержания лиц, подвергнутых административному аресту ГУ МВД России по г. Москве",1731000032,ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,"Российская Федерация, 127994, Москва, УЛИЦА ПЕТРОВКА, 38","Российская Федерация, 127994, Москва, УЛИЦА ПЕТРОВКА, 38",7707089101,CU,3907440.0,351333.8,510.0,0.0899140613803411,2020-12,127994
1663,173100003221000032,"Оказание услуг по уборке здания и территории для нужд ПОиКПиО ГУ МВД России по г. Москве в 2022 году по адресу: г. Москва, проезд Завода Серп и Молот, д. 4А",1731000032,ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ,"Российская Федерация, 127994, Москва, УЛИЦА ПЕТРОВКА, 38","Российская Федерация, 127994, Москва, УЛИЦА ПЕТРОВКА, 38",7707089101,CU,1838841.15,8316065.95,150.0,4.522449342619943,2021-11,127994
1727,173100003521000064,"Выполнение работ по капитальному ремонту административного здания, находящегося по адресу: г. Москва, Литовский бульвар, д. 11, корпус 3",1731000035,ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО ДЕЛАМ МОЛОДЕЖИ,"Российская Федерация, 123022, Переулок Подсосенский, д. 5, стр. 1","Российская Федерация, 109028, Москва, ПЕРЕУЛОК БОЛЬШОЙ ТРЁХСВЯТИТЕЛЬСКИЙ, ДОМ 2/1/СТР 2",7703672351,RA,10027723.188253809,12919744.11,149.0,179710.67578401256,2021-06,123022
1741,173100003521000096,Поставка мебели для обеспечения государственных нужд  Федерального агентства по делам молодежи,1731000035,ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО ДЕЛАМ МОЛОДЕЖИ,"Российская Федерация, 123022, Переулок Подсосенский, д. 5, стр. 1","Российская Федерация, 109028, Москва, ПЕРЕУЛОК БОЛЬШОЙ ТРЁХСВЯТИТЕЛЬСКИЙ, ДОМ 2/1/СТР 2",7703672351,CU,1564186.24,2839000.0,50.0,1.8150012622537839,2021-09,123022
